ticker,avg_sentiment_score,sentiment_std,mention_count,min_sentiment_score,max_sentiment_score,avg_confidence,avg_positive_score,avg_negative_score,avg_neutral_score,dominant_sentiment,date,returns
APPLE,-0.2962,0.419,2,-0.5925,0.0,0.7601,0.0542,0.3087,0.6371,negative,2018-01-02,1.7904719265090963
APPLE,0.6849,,1,0.6849,0.6849,0.6849,0.6849,0.0139,0.3012,positive,2018-01-03,-0.017391491640184054
APPLE,0.0,,1,0.0,0.0,0.7868,0.1777,0.0355,0.7868,neutral,2018-01-17,1.65163638304886
APPLE,0.7797,,1,0.7797,0.7797,0.7797,0.7797,0.0118,0.2084,positive,2018-01-18,0.08930610906847658
APPLE,-0.9296,,1,-0.9296,-0.9296,0.9296,0.0331,0.9296,0.0373,negative,2018-01-24,-1.5928672373183184
APPLE,0.0,,1,0.0,0.0,0.9098,0.0472,0.043,0.9098,neutral,2018-01-26,0.2337810919960326
APPLE,0.0,,1,0.0,0.0,0.9259,0.0437,0.0303,0.9259,neutral,2018-01-29,-2.0698422806976424
APPLE,0.0,,1,0.0,0.0,0.8399,0.1364,0.0237,0.8399,neutral,2018-02-01,0.209090971824466
APPLE,0.0,,1,0.0,0.0,0.6074,0.3739,0.0187,0.6074,neutral,2018-02-02,-4.339053547818416
APPLE,0.5395,,1,0.5395,0.5395,0.5395,0.5395,0.4286,0.0319,positive,2018-02-06,4.179140392076275
APPLE,0.0,,1,0.0,0.0,0.8725,0.0965,0.0311,0.8725,neutral,2018-02-16,-0.3237261352220355
APPLE,0.0,,1,0.0,0.0,0.6259,0.3665,0.0076,0.6259,neutral,2018-02-27,-0.324075004794977
APPLE,0.0,,1,0.0,0.0,0.9296,0.0435,0.0269,0.9296,neutral,2018-02-28,-0.15135785530461243
APPLE,0.0,,1,0.0,0.0,0.854,0.1345,0.0115,0.854,neutral,2018-03-13,-0.9629792477053534
APPLE,0.0,,1,0.0,0.0,0.9225,0.068,0.0094,0.9225,neutral,2018-03-23,-2.3156646741325004
APPLE,0.0,,1,0.0,0.0,0.7468,0.2445,0.0087,0.7468,neutral,2018-03-27,-2.5641297438787625
APPLE,0.0,,1,0.0,0.0,0.8633,0.1259,0.0109,0.8633,neutral,2018-03-28,-1.10490875977588
APPLE,0.0,,1,0.0,0.0,0.8742,0.1123,0.0134,0.8742,neutral,2018-03-29,0.7809169546215022
APPLE,0.0,,1,0.0,0.0,0.9031,0.0795,0.0175,0.9031,neutral,2018-04-02,-0.6556468411297423
APPLE,-0.953,0.0116,2,-0.9612,-0.9448,0.953,0.0112,0.953,0.0358,negative,2018-04-03,1.0259130806300032
APPLE,-0.7042,,1,-0.7042,-0.7042,0.7042,0.0348,0.7042,0.261,negative,2018-04-04,1.9122316279478913
APPLE,0.0,0.0,2,0.0,0.0,0.8399,0.1059,0.0542,0.8399,neutral,2018-04-19,-2.8340143325144784
APPLE,0.0,,1,0.0,0.0,0.7771,0.2083,0.0146,0.7771,neutral,2018-04-20,-4.097217877919701
APPLE,-0.9596,,1,-0.9596,-0.9596,0.9596,0.0092,0.9596,0.0312,negative,2018-04-24,-1.391946838494229
APPLE,0.0,0.0,2,0.0,0.0,0.8972,0.071,0.0319,0.8972,neutral,2018-04-25,0.4357487221160694
